Sequence_ID,Step_0,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150,Step_151,Step_152,Step_153,Step_154,Step_155,Step_156,Step_157,Step_158,Step_159,Step_160,Step_161,Step_162,Step_163,Step_164,Step_165,Step_166,Step_167,Step_168,Step_169,Step_170,Step_171,Step_172,Step_173,Step_174,Step_175,Step_176,Step_177,Step_178,Step_179,Step_180,Step_181,Step_182,Step_183,Step_184,Step_185,Step_186,Step_187,Step_188,Step_189,Step_190,Step_191
0,0.9999995,0.8791049,0.7674681,0.68444633,0.62414336,0.5895895,0.5755479,0.57841396,0.59515446,0.61813164,0.6113084,0.5896199,0.56289524,0.5339367,0.5044949,0.4760409,0.4494986,0.42509297,0.40229508,0.37995923,0.35653526,0.33043975,0.30080345,0.26736194,0.22922468,0.18570177,0.13455021,0.08118602,0.06883123,0.07612557,0.09036473,0.10859755,0.13072675,0.15796201,0.19187765,0.23306029,0.28092334,0.33398664,0.38579166,0.43136305,0.4708224,0.50729716,0.54359865,0.5683508,0.57646877,0.57455707,0.565971,0.55130637,0.530174,0.5019084,0.46585616,0.42227855,0.37322107,0.3212428,0.27160177,0.22709109,0.18719408,0.15061903,0.11212315,0.075593695,0.059081126,0.055889852,0.05889269,0.06640282,0.079119295,0.099722765,0.13381773,0.1896772,0.26636505,0.34463635,0.40446213,0.44893634,0.48278815,0.5118166,0.53884214,0.55957323,0.5707549,0.5745297,0.57333523,0.56782496,0.5569169,0.53751093,0.50325185,0.4443652,0.36210328,0.28302047,0.22564742,0.184869,0.15330274,0.123873115,0.09176586,0.06437256,0.050914504,0.046501428,0.046437602,0.049288474,0.055567686,0.06809268,0.0952793,0.16108337,0.2795678,0.37333047,0.42318428,0.45438886,0.47918049,0.5018659,0.52213204,0.53765374,0.54727924,0.55182,0.55273175,0.55080485,0.5455529,0.5344321,0.5090934,0.44135022,0.3126294,0.21879682,0.17222549,0.14448571,0.122110315,0.0979934,0.0708159,0.04838884,0.035951987,0.030617999,0.028973732,0.029408354,0.031818528,0.03800048,0.055531215,0.1271039,0.299764,0.38421425,0.41410586,0.4332687,0.45008215,0.46563733,0.47888568,0.48923758,0.49673554,0.50155586,0.5039114,0.50404507,0.50185984,0.49600002,0.48032328,0.41280806,0.23823927,0.140951,0.11281915,0.095944904,0.08003412,0.06140316,0.04099116,0.023287186,0.011047889,0.0039723767,0.00065649074,0.0,0.0015074973,0.0059296917,0.018141635,0.08278166,0.31086355,0.37638193,0.39411935,0.40702426,0.41685644,0.4228864,0.4251203,0.424245,0.42098382,0.4157957,0.4083585,0.3906667,0.3718929,0.37610537,0.37331527,0.33420545,0.15886772,0.042905927,0.030496426,0.023803867,0.01957315,0.017761722,0.018831559,0.022885997,0.02947218,0.037450366,0.044656567,0.045765914
1,0.0,0.60602105,0.8729034,0.9727455,0.9999996,0.98687977,0.9579209,0.915299,0.8388987,0.7274906,0.6630599,0.62140757,0.5863145,0.55486727,0.52664894,0.50190264,0.48078674,0.4630361,0.44807455,0.43509844,0.42330742,0.4122892,0.40256754,0.39602575,0.39532143,0.40643498,0.45003447,0.53381985,0.5659526,0.57981235,0.59204984,0.6048104,0.6189783,0.63559026,0.65561974,0.6790514,0.7046088,0.7295257,0.74670225,0.7501011,0.7371008,0.70212317,0.64504063,0.59689224,0.5722849,0.5578417,0.5456357,0.5325146,0.5169253,0.4979432,0.47503862,0.44861907,0.42067674,0.39418268,0.37501058,0.36804515,0.37565985,0.4015503,0.45389318,0.5192095,0.5534821,0.5680233,0.5771709,0.58561414,0.5956145,0.609587,0.63131255,0.6660236,0.71213627,0.75423175,0.77367103,0.7656763,0.739855,0.7004681,0.6516469,0.6081817,0.5797485,0.5625001,0.5505587,0.54028237,0.52910167,0.51410997,0.49079782,0.45284843,0.40191355,0.3574835,0.33591574,0.3376393,0.35826638,0.3969765,0.4548305,0.5108542,0.54215837,0.55771613,0.5672008,0.5746463,0.58228654,0.592726,0.611702,0.65483487,0.7305174,0.78370965,0.79391944,0.7760291,0.7430933,0.7015357,0.6581974,0.6206757,0.59257627,0.5727784,0.5584735,0.54724383,0.53703,0.5251866,0.5057567,0.46025366,0.3776822,0.323881,0.312423,0.32592416,0.35378256,0.39684087,0.452508,0.50174016,0.53217286,0.54946154,0.56049186,0.56868935,0.5760046,0.58448815,0.5993792,0.6484878,0.7618404,0.8083391,0.8032134,0.7786202,0.7452144,0.7083594,0.67320323,0.6422992,0.61592263,0.5935673,0.57468325,0.55878776,0.5451429,0.53225744,0.51568913,0.46799192,0.35513082,0.30179825,0.30468404,0.32277447,0.35020182,0.38845804,0.43354005,0.47508428,0.50688195,0.5295717,0.5464992,0.5603743,0.57294023,0.5857471,0.60214216,0.6504242,0.80132604,0.8319427,0.81845224,0.7952905,0.76983786,0.74617255,0.7251795,0.7056408,0.6855542,0.6622461,0.63187724,0.590852,0.54450905,0.5122776,0.47488686,0.42208472,0.29721102,0.22535093,0.22561614,0.23108295,0.2375972,0.24257587,0.24403019,0.24125986,0.23502627,0.22761366,0.22365624,0.23537341
2,0.99999994,0.7326982,0.5500871,0.4235829,0.3362846,0.2753013,0.2330068,0.20232457,0.17484167,0.14676805,0.12850384,0.11559545,0.10498846,0.09581952,0.08778778,0.08081865,0.0748627,0.06980045,0.065436594,0.06151519,0.05776846,0.054001413,0.050248925,0.04683153,0.044176523,0.043326195,0.047892928,0.05959406,0.064599305,0.067590624,0.07074661,0.074262254,0.078291014,0.083100654,0.0889723,0.09594355,0.10374451,0.11178049,0.118339315,0.12200174,0.12229802,0.11842089,0.110514395,0.10343185,0.099500746,0.09674475,0.093948424,0.09057925,0.0863279,0.08098241,0.07440327,0.06668237,0.058322206,0.050034523,0.04324401,0.03902936,0.03778783,0.040101975,0.04710143,0.056561198,0.06168562,0.06410894,0.06596426,0.0679894,0.07064077,0.07453306,0.080721304,0.09070298,0.10413086,0.116945244,0.12444992,0.12598743,0.12359656,0.11842331,0.111393236,0.104894154,0.10047541,0.09758962,0.09533703,0.09309719,0.09033179,0.08630425,0.07976878,0.068922825,0.05415486,0.040792793,0.03305461,0.03068072,0.03237289,0.03750307,0.04592783,0.054302853,0.059093084,0.061621025,0.06333442,0.064871326,0.06666993,0.06938772,0.07462101,0.08678218,0.1083261,0.12417426,0.12935114,0.12821878,0.123939544,0.11795024,0.111461766,0.10569626,0.10123749,0.097942,0.09540072,0.09322759,0.09101685,0.088117115,0.082885645,0.07007489,0.046447,0.030398995,0.025230905,0.02587593,0.02949802,0.035772085,0.044123456,0.05159265,0.05629403,0.0590761,0.060965993,0.062478937,0.06396247,0.065906644,0.06976042,0.08337934,0.115318276,0.12933628,0.1304168,0.12727112,0.12237262,0.11675783,0.111284666,0.106379196,0.102096915,0.0983605,0.095086545,0.09220531,0.089576386,0.08684011,0.08277738,0.069588475,0.037403,0.021225195,0.019903302,0.022104638,0.02607335,0.03183279,0.038704876,0.045094784,0.050062723,0.0537115,0.056560896,0.059030917,0.061405413,0.06401463,0.06778683,0.08079045,0.123166844,0.13305633,0.13181874,0.12851538,0.12458881,0.12072472,0.117085345,0.11349722,0.109648,0.1050846,0.09908831,0.09046887,0.08080137,0.07521812,0.0682214,0.055991683,0.021563629,0.0007642053,0.0,0.00056435954,0.0014829221,0.0022777563,0.002614674,0.0023723722,0.001660327,0.0008221272,0.00056769536,0.0027917754
3,0.0,0.35171804,0.5535701,0.67420655,0.75625026,0.81139153,0.85026056,0.872726,0.86731446,0.8343024,0.82239026,0.81831634,0.81361663,0.8074935,0.80045277,0.79324186,0.786442,0.7802936,0.7747925,0.769741,0.7649001,0.76019734,0.75605476,0.7536149,0.75445735,0.7620329,0.78816617,0.83715975,0.85580766,0.8635795,0.8702439,0.8771019,0.8846552,0.8934696,0.9040637,0.9164156,0.92981607,0.9427202,0.95124847,0.9520842,0.9437386,0.9229701,0.8896531,0.8617107,0.8475455,0.8393905,0.8326665,0.825568,0.81722057,0.80711794,0.794974,0.78101224,0.7663148,0.7525063,0.74279505,0.739886,0.74514097,0.7606922,0.7913176,0.82928866,0.8491629,0.8575081,0.8626389,0.86726123,0.87264717,0.88010347,0.8916487,0.9100615,0.9344588,0.9565302,0.96614933,0.9605245,0.94501895,0.9219204,0.89352167,0.8683321,0.85191834,0.842035,0.8352838,0.8295808,0.8234958,0.8154488,0.80303043,0.78289044,0.7559306,0.73258483,0.72169447,0.72362477,0.7360646,0.7587219,0.7923284,0.82480556,0.842919,0.8518685,0.85726315,0.86143064,0.8656261,0.87126607,0.88141245,0.90437925,0.9446015,0.9726148,0.97722054,0.9662849,0.9469489,0.92276895,0.89764726,0.87595516,0.8597645,0.8484133,0.84027,0.8339408,0.8282665,0.8218082,0.81138206,0.78716403,0.7433488,0.7150301,0.7096181,0.71792215,0.7342494,0.7592522,0.7915022,0.82000244,0.8375957,0.8475519,0.8538622,0.858514,0.86261624,0.8672948,0.8753486,0.90158075,0.9619422,0.9863705,0.98273027,0.96826875,0.9488562,0.92751926,0.90721166,0.8893998,0.8742317,0.8614182,0.8506365,0.84160656,0.83391136,0.8267348,0.8177018,0.79222876,0.7322984,0.7043205,0.70661205,0.71726614,0.73319936,0.7553493,0.7814297,0.8054469,0.8238072,0.8368729,0.8465758,0.8544824,0.86159295,0.8687729,0.8778093,0.90373945,0.9841518,0.9999997,0.99188817,0.97839105,0.96366906,0.950058,0.938062,0.92696965,0.9156252,0.9024987,0.8854139,0.86252224,0.8366426,0.81823784,0.79707646,0.76803374,0.70130193,0.66324824,0.66368455,0.66693825,0.6707298,0.6735951,0.6743957,0.6727303,0.6690426,0.66465616,0.66224647,0.668864
4,0.0,0.19343348,0.38740888,0.54138374,0.6523806,0.7354911,0.79884064,0.8510925,0.9022696,0.95400155,0.9752824,0.98051816,0.9792842,0.97451794,0.9677714,0.96011174,0.9522102,0.9443875,0.93660235,0.92851454,0.9195731,0.90910536,0.89657855,0.8814674,0.8627696,0.8388619,0.80420965,0.75984895,0.74687326,0.7475885,0.75211686,0.75852966,0.7665916,0.7766894,0.7893934,0.8050038,0.8234882,0.8446797,0.8668349,0.88872224,0.9109369,0.9361755,0.9658533,0.98796827,0.9970417,0.9990905,0.99740124,0.99291694,0.98577595,0.97583073,0.9628745,0.9469485,0.92864,0.9085777,0.8881079,0.86756694,0.8461866,0.82253236,0.7922648,0.76018137,0.74466413,0.73998445,0.7395473,0.7415133,0.74575186,0.7530947,0.76554006,0.786112,0.8146722,0.8448414,0.87051594,0.8942103,0.9162852,0.93874556,0.9621437,0.98132265,0.9926919,0.9981126,0.99999976,0.9994203,0.99638206,0.98996276,0.97798043,0.9569389,0.927106,0.89746195,0.8736758,0.8531206,0.833079,0.8102176,0.78192645,0.7563554,0.74298525,0.7374765,0.7354316,0.7352803,0.7368013,0.74085367,0.7504302,0.77420086,0.81741166,0.85299003,0.8756224,0.8947742,0.9138367,0.93361455,0.9525581,0.9679577,0.9785017,0.9848291,0.9882412,0.9896187,0.9891582,0.98615104,0.977736,0.95390457,0.9078068,0.87284285,0.8522295,0.8355986,0.8185486,0.79737777,0.7719813,0.7503125,0.73762655,0.73128617,0.72812116,0.7266001,0.72625214,0.72754556,0.73315907,0.7585698,0.8209479,0.853303,0.8692005,0.8837775,0.8990011,0.91430885,0.92812395,0.93962514,0.9487865,0.95579165,0.96086967,0.9642339,0.96599036,0.9657847,0.961519,0.9382295,0.8758229,0.838999,0.82442725,0.8121772,0.7984022,0.7809525,0.76115143,0.7434509,0.7305541,0.7221843,0.71692264,0.7136412,0.71172696,0.7112212,0.71385854,0.7360059,0.818277,0.8445349,0.85613304,0.8673225,0.8774552,0.88533604,0.89078397,0.89439523,0.8969459,0.89921194,0.9018428,0.9016346,0.90202516,0.9108489,0.9173057,0.90909374,0.8488575,0.80674607,0.80052596,0.7960197,0.7925119,0.79053813,0.7907567,0.7933707,0.7979883,0.80355,0.8079813,0.8060088
5,0.99999994,0.760139,0.5587178,0.41056815,0.30876482,0.24023797,0.19489123,0.16386515,0.13820091,0.113586,0.09819992,0.087808274,0.079565555,0.07260325,0.06658953,0.061415706,0.05701951,0.053295616,0.050091103,0.04720808,0.044444315,0.04165939,0.038893465,0.03641752,0.034595132,0.034294564,0.038513307,0.048626266,0.052870978,0.055285122,0.05777453,0.060525067,0.06366394,0.06740226,0.07195883,0.07736036,0.083389476,0.0895667,0.09453614,0.09716862,0.0970758,0.09356616,0.086735375,0.08068438,0.07737407,0.07511862,0.07288674,0.070234306,0.06691005,0.062744685,0.057628576,0.051635772,0.045162063,0.038772754,0.033596773,0.0304995,0.029812286,0.032026615,0.038118966,0.046223905,0.05058812,0.052613214,0.054117486,0.05572347,0.057802424,0.0608379,0.06565248,0.07341093,0.083835036,0.093738556,0.09941901,0.100306764,0.09804483,0.09352984,0.087500736,0.08196503,0.078226715,0.075815216,0.0739683,0.07216875,0.06998231,0.06682806,0.061733104,0.053295135,0.04182242,0.03148127,0.025589697,0.02397698,0.025636585,0.030110449,0.037323788,0.044457298,0.048519745,0.05064078,0.0520544,0.05329778,0.054727513,0.056862973,0.060948264,0.070420176,0.08718358,0.09945845,0.103303045,0.10210198,0.09835934,0.09322519,0.08770079,0.08281383,0.07905507,0.07629924,0.074196726,0.072421946,0.07064428,0.06834844,0.06425256,0.05426945,0.035889246,0.023459766,0.019593768,0.020358168,0.023529738,0.028901933,0.03601284,0.042357907,0.04633836,0.048677,0.050248843,0.051492702,0.05269545,0.054246366,0.05727607,0.067902155,0.09277963,0.10362357,0.104259565,0.10150013,0.097315535,0.0925512,0.08792393,0.08379055,0.080194816,0.077073745,0.074353985,0.07197759,0.06982914,0.06762299,0.064407654,0.054110993,0.029065682,0.016556611,0.015703725,0.017658846,0.021061972,0.02596312,0.031797945,0.03721342,0.041411,0.0444787,0.046855334,0.04889774,0.05084276,0.05295706,0.055964403,0.066142045,0.09916052,0.10676052,0.10558759,0.10275145,0.09942791,0.09618877,0.093167484,0.090215445,0.08706864,0.08334932,0.078467645,0.071510874,0.06370049,0.059062153,0.05331942,0.043572433,0.016685253,0.00052587,0.0,0.0005213014,0.0013126312,0.0019825324,0.0022511182,0.0020173981,0.0013758703,0.0006194061,0.0003496182,0.0021715283
6,0.0,0.09611146,0.26347804,0.41390634,0.5243567,0.6123786,0.6846584,0.7520098,0.8305695,0.920293,0.9556385,0.96333563,0.9609901,0.9533705,0.9427685,0.9307493,0.9182741,0.9058036,0.8932297,0.8799649,0.8650408,0.8472728,0.8256363,0.7990103,0.7653334,0.7211039,0.6543801,0.5662501,0.53977674,0.53985435,0.54701084,0.55754,0.5709388,0.58780897,0.60911644,0.6353876,0.6666907,0.7029646,0.7416569,0.7810637,0.8224846,0.87127835,0.9299925,0.97419614,0.9927444,0.9977199,0.99574095,0.98880535,0.9772844,0.96100885,0.93964267,0.9132187,0.88263243,0.8487347,0.8134385,0.7768896,0.73748046,0.6922662,0.63259315,0.5683747,0.53704107,0.5272052,0.5255812,0.52839214,0.53519845,0.5472882,0.56796575,0.60224426,0.650025,0.70107967,0.74596256,0.7896539,0.8319374,0.87608224,0.9227114,0.9611992,0.9842411,0.99554586,0.99999964,0.99986094,0.9953602,0.9850943,0.9655237,0.93089026,0.8815372,0.831935,0.7908549,0.7534928,0.71531284,0.6703477,0.61373705,0.56217706,0.53501517,0.52357876,0.51899576,0.51804155,0.5201192,0.5265425,0.54224455,0.58159256,0.65336007,0.71325874,0.7534411,0.78976196,0.82721335,0.86669767,0.90479773,0.9359457,0.95747644,0.970652,0.9780741,0.9815525,0.9816159,0.977235,0.96375865,0.9247514,0.84882396,0.7904412,0.754172,0.7228243,0.68938714,0.64706606,0.59588915,0.55202395,0.5261782,0.51306844,0.50630206,0.5027884,0.50149107,0.5030728,0.5119403,0.5537326,0.65699357,0.71164644,0.7409659,0.76958734,0.80014074,0.8311359,0.8592521,0.88280165,0.9017001,0.9163445,0.92719334,0.9346789,0.9390574,0.93982834,0.9335884,0.89573514,0.79300535,0.7311794,0.70452046,0.6806677,0.65318143,0.6180192,0.5779426,0.54197896,0.51561844,0.49831587,0.48719677,0.47995564,0.4753233,0.4732339,0.47654307,0.5124903,0.64862895,0.6936341,0.71589804,0.7382514,0.75889134,0.7752773,0.78701216,0.7952851,0.80168486,0.8078566,0.8153163,0.8185832,0.82342005,0.8422691,0.8572872,0.8471647,0.7494527,0.67975813,0.6684581,0.65979034,0.6528289,0.64879584,0.64905673,0.6540487,0.6629937,0.6737579,0.68214834,0.67749953
7,0.0,0.67006016,0.93105185,0.9999997,0.9862351,0.94361585,0.8976522,0.85652316,0.8167227,0.7752745,0.740667,0.7110428,0.6845919,0.6606958,0.63919216,0.62016344,0.6036088,0.58926827,0.5766123,0.56488264,0.55322015,0.54089373,0.5277107,0.51407963,0.5004214,0.48815018,0.48220456,0.48655438,0.49107942,0.49750578,0.5059351,0.5159178,0.52766263,0.5418856,0.55941296,0.580455,0.60445106,0.63013095,0.65325755,0.67041934,0.68093395,0.6843783,0.68167543,0.6772608,0.67337173,0.66870034,0.6622612,0.6533967,0.64154226,0.6262035,0.6070011,0.5841457,0.5589226,0.53306997,0.5101001,0.49236885,0.4803544,0.47461274,0.47553262,0.48069036,0.48430908,0.48718792,0.49077064,0.4957508,0.50300187,0.51413804,0.53217965,0.5615039,0.6013483,0.64066875,0.6672669,0.68093395,0.6859565,0.6855382,0.68179226,0.67723763,0.67339015,0.6699754,0.6662502,0.6614405,0.654455,0.643378,0.62470204,0.59318453,0.549743,0.50926024,0.48288128,0.4689135,0.4634958,0.46387014,0.46858713,0.47441277,0.47829705,0.48102713,0.483618,0.48667678,0.4910018,0.49830568,0.51314616,0.5482976,0.6110606,0.6589176,0.6794533,0.68570215,0.68555576,0.6822818,0.677628,0.6728542,0.6685476,0.6647081,0.66108453,0.6572914,0.6525936,0.64534736,0.63093084,0.5941692,0.52540934,0.47708762,0.4573806,0.45133656,0.45120138,0.45467535,0.46053377,0.46623942,0.4702509,0.47313455,0.47559422,0.47800592,0.48087272,0.48539215,0.4956892,0.53451294,0.62678576,0.6694954,0.6787486,0.6788798,0.6757586,0.6712288,0.66631824,0.6615277,0.65694743,0.65250885,0.6481414,0.64380115,0.6392506,0.6335977,0.6234246,0.58615744,0.4927152,0.44333202,0.4341876,0.4332821,0.43532026,0.43940052,0.44472224,0.44998634,0.45446017,0.45822847,0.46172804,0.46531877,0.46931344,0.47439918,0.48322442,0.51934856,0.64148545,0.67312133,0.6757722,0.67406845,0.6706385,0.6663302,0.6613917,0.65573484,0.64907247,0.64083433,0.6298454,0.6122581,0.5927918,0.58537513,0.57402223,0.5454459,0.44838816,0.3872089,0.38290146,0.38207358,0.38241273,0.38317263,0.38395813,0.38461325,0.38518596,0.38592106,0.38735047,0.3910388
8,0.0,0.21875504,0.42759916,0.59838176,0.7242637,0.8147867,0.8793104,0.92633194,0.9625244,0.9906309,0.99999976,0.99893373,0.9930014,0.98441744,0.9745585,0.9644284,0.9546508,0.94548184,0.93682,0.9283004,0.9193731,0.90945876,0.89822316,0.88554317,0.87104833,0.85440326,0.83450127,0.8132949,0.808205,0.81076634,0.8159748,0.82268745,0.8308626,0.84093726,0.8534953,0.86875695,0.8865155,0.9062458,0.9255911,0.94274664,0.95778805,0.97196555,0.98633724,0.9962448,0.99959886,0.99905115,0.9959557,0.990579,0.9827946,0.9723585,0.9590303,0.9429047,0.9247328,0.90543836,0.88693786,0.8702228,0.8550741,0.8409542,0.8257897,0.8112113,0.80456525,0.80318516,0.8042106,0.8069447,0.8116246,0.8192362,0.8318485,0.8525207,0.8809208,0.9099647,0.9323117,0.94919056,0.9622669,0.9736855,0.9844615,0.9927981,0.9973549,0.9989834,0.99867624,0.9967191,0.9927371,0.9855964,0.9729514,0.9511894,0.9207644,0.89145964,0.8700681,0.8546562,0.84249234,0.8309134,0.81809336,0.8070768,0.8016177,0.79976445,0.7996267,0.8006137,0.8028938,0.80749696,0.8175343,0.841861,0.88568544,0.9204459,0.9391396,0.951125,0.96086884,0.96992034,0.97807854,0.98438126,0.98834634,0.99029326,0.9908094,0.99021536,0.9883576,0.9843022,0.9749763,0.949963,0.90238696,0.8676299,0.850192,0.83955723,0.8307722,0.821147,0.81021297,0.8011513,0.7960885,0.7938683,0.7931139,0.79318166,0.7940027,0.7962331,0.80267364,0.8291088,0.89293796,0.92426306,0.9356048,0.94312495,0.9498625,0.9561697,0.9615837,0.9658559,0.9689988,0.9710835,0.97219706,0.9724365,0.9717747,0.96971595,0.96400046,0.9391,0.8745876,0.838516,0.82786196,0.8212724,0.8149324,0.8074326,0.7991806,0.79199475,0.7869896,0.78404546,0.7825909,0.78217417,0.78259426,0.78410983,0.7885232,0.8123519,0.8966624,0.9210287,0.9278825,0.9330243,0.93703455,0.939589,0.94067997,0.94058174,0.939589,0.93790746,0.9354636,0.929275,0.92274296,0.924717,0.924114,0.9099918,0.8453348,0.8024432,0.7977554,0.79516023,0.79348433,0.792739,0.7931241,0.79469043,0.7972529,0.80035627,0.8031242,0.8033986
9,0.99999964,0.8253865,0.65458477,0.5163657,0.4135506,0.3545192,0.32828948,0.33090803,0.36935917,0.43633938,0.45762086,0.45737624,0.45142162,0.44306278,0.43350416,0.42349827,0.41347605,0.40361223,0.3937065,0.38325095,0.37143257,0.35721228,0.33957204,0.3171863,0.28779057,0.24732196,0.18190262,0.09090122,0.062285937,0.060063437,0.06436866,0.071581304,0.08110731,0.093317084,0.1088909,0.12830168,0.151808,0.17977564,0.21106072,0.24508548,0.2833549,0.33135533,0.39121374,0.43690082,0.45670065,0.46320742,0.46337047,0.45939374,0.45184562,0.44071215,0.42579064,0.40704617,0.38493532,0.35973066,0.33213577,0.30150065,0.26600122,0.22243415,0.1618209,0.094852336,0.061680228,0.05063761,0.04772087,0.04884144,0.05323985,0.06166858,0.076434,0.10113078,0.13591735,0.17421006,0.21060877,0.2501758,0.2911849,0.33579335,0.383873,0.42391992,0.4482067,0.4606145,0.46629187,0.46774328,0.46557435,0.45901868,0.44571394,0.42166948,0.38692018,0.35094315,0.3187239,0.2859921,0.24946526,0.20401348,0.14512186,0.090745136,0.06172682,0.04910469,0.043520484,0.04146572,0.04206677,0.04605749,0.056871798,0.084692664,0.13594064,0.18029049,0.21400774,0.24865685,0.2865512,0.3274508,0.3672974,0.40012008,0.4230929,0.43753216,0.4461426,0.45087183,0.45249793,0.4505317,0.44188398,0.41521165,0.36239812,0.32027543,0.29060015,0.26117647,0.22756873,0.18367083,0.12982528,0.08326924,0.055539228,0.041153543,0.033384107,0.028943766,0.02660478,0.026632737,0.032063186,0.06110247,0.1341864,0.17500913,0.20159762,0.23056933,0.262544,0.29536897,0.32534945,0.35063332,0.3711367,0.38730225,0.39962152,0.40855578,0.4144545,0.417108,0.41426814,0.38890272,0.3175474,0.27230763,0.24863589,0.22494087,0.19652593,0.1595821,0.117119275,0.07873571,0.050320778,0.031343322,0.018753808,0.010087452,0.0039348053,0.0,0.0002702412,0.024293752,0.120564856,0.15543994,0.17716408,0.20045142,0.22255762,0.24061719,0.25417116,0.2644613,0.2731859,0.28221568,0.29346332,0.3027214,0.3141787,0.3356163,0.35449824,0.35398802,0.2889228,0.23983674,0.2299543,0.22151858,0.21439447,0.21006827,0.21006128,0.21486738,0.2236712,0.23424554,0.24219203,0.23625138
